PROC_NAME  HOST_NAME  TIME  MEMORY  RUNTIME
script1 egs-fossa 19:16:10  4160 16:00
script2 egs-fossa 19:16:10  4900 16:00
script3 egs-fossa 19:16:10  3824 16:00
script4 egs-fossa 19:16:10  3808 15:51
script1 egs-fossa 19:16:14  4160 16:05
script2 egs-fossa 19:16:14  4900 16:05
script3 egs-fossa 19:16:14  3824 16:05
script4 egs-fossa 19:16:14  3808 15:56
script1 egs-fossa 19:16:20  4160 16:10
script2 egs-fossa 19:16:20  4900 16:10
script3 egs-fossa 19:16:20  3824 16:10
script4 egs-fossa 19:16:20  3808 16:01
script1 egs-fossa 19:16:25  4160 16:16
script2 egs-fossa 19:16:25  4900 16:16
script3 egs-fossa 19:16:26  3824 16:16
script4 egs-fossa 19:16:26  3808 16:07
